Control TPV vs facturación — Q2 2026
Informe informativo. No corrige ni crea facturas automáticamente — las diferencias deben revisarse manualmente.

Mes;Total Caja/TPV;Total facturas emitidas;Diferencia
2026-04;17931.47;0.00;17931.47
2026-05;20059.12;0.00;20059.12
2026-06;20160.44;119.43;20041.01

Total Caja/TPV;58151.03
Total facturas emitidas;119.43
Diferencia total;58031.60
